Title,Release Date,Rating,Plot
KPop Demon Hunters,2025,7.8/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Brick,2025,5.5/10,A couple whose apartment building is suddenly surrounded by a mysterious brick wall must work with their neighbors to find a way out.
Mundo Jurássico - Renascimento,2025,6.2/10,"Five years post-Mundo Jurássico: Domínio (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakth... Read all"
Superman,2025,7.7/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
Ballerina,2025,7.0/10,An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.
28 Anos Depois,2025,7.1/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
Pecadores,2025,7.7/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
F1,2025,7.9/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
Heads of State,2025,6.5/10,"When the U.K. Prime Minister and U.S. President become the targets of a foreign adversary, they're forced to rely on one another to thwart a global conspiracy."
A Velha Guarda 2,2025,5.1/10,"Andy leads immortal warriors against a powerful enemy threatening their group. They grapple with the resurfacing of a long-lost immortal, complicating their mission to safeguard humanity."
Zombies 4: Dawn of the Vampires,2025,5.8/10,"Zed and Addison discover the warring worlds of Sunnyside and Shadyside on a summer road trip after their first year of college, encountering two new groups of monsters."
Éden,2024,6.3/10,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Gala... Read all
Como Treinares o Teu Dragão,2025,8.1/10,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to ... Read all"
Volta Para Mim,2025,7.2/10,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.
Karate Kid: Os Campeões,2025,6.4/10,"After kung fu prodigy Li Fong relocates to New York City, he attracts unwanted attention from a local karate champion and embarks on a journey to enter the ultimate karate competition with t... Read all"
Sovereign,2025,6.3/10,"A father and son who identify as Sovereign Citizens, a group of anti-government extremists, find themselves in a standoff with a chief of police that sets off a manhunt."
Thunderbolts*,2025,7.3/10,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts."
Madea's Destination Wedding,2025,5.1/10,"Madea and family attend Tiffany's rushed destination wedding in Bahamas. Tensions arise as Tiffany doubts her fiance, Zavier, and her mother acts strangely, raising suspicions about the marr... Read all"
A Velha Guarda,2020,6.7/10,"A covert group of tight-knit mercenaries with an inability to die have fought to protect the world for centuries. But when their abilities are suddenly exposed, they need to eliminate the th... Read all"
Parceiros na Boa,2025,4.8/10,A dedicated special investigator is forced to team up with a reckless demoted ex-detective to hunt down a killer in this buddy cop comedy.
Ziam,2025,4.9/10,"In a world succumbing to hunger, a Muay Thai fighter fights off zombies to save his beloved."
Homem de Aço,2013,7.1/10,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.
Maalik,2025,8.1/10,Maalik is a gangster drama starring Rajkummar Rao that is expected to be a gripping story about a man's rise to power in the underworld. The film is based on social issues and is expected to... Read all
Missão: Impossível - O Ajuste de Contas Final,2025,7.4/10,Our lives are the sum of our choices. Tom Cruise is Ethan Hunt in Mission: Impossible - The Final Reckoning.
